id,item_id,date,quantity,cost (CLP)_x,delivery_date,lead_time,description,description_2,group_description,unit_sale_price (CLP),cost (CLP)_y,storage_cost (CLP),stock,size_m3,cost_per_purchase
16065,137,2023-04-03,2,16116.0,2023-04-21,18,le salon essentials cepillo combinado sm,grooming,accesorios,11690.0,8058.0,25.0,0.0,0.001,500.0
16091,133,2023-04-03,1,36188.0,2023-04-22,19,habitat para hamster kleo vip,enriquecimiento ambiental,accesorios,50160.0,36188.0,106.0,0.0,0.001,550.0
16160,1723,2023-04-03,1,15864.0,2023-04-21,18,zd army green ruff leash large,paseo,accesorios,23900.0,15864.0,50.0,3.0,0.001,500.0
16469,1694,2023-05-01,1,46574.0,2023-05-25,24,pack hamster animal care n°2,hogar-transporte,accesorios,67340.0,46574.0,164.0,0.0,0.004,600.0
16478,1492,2023-05-01,1,16092.0,2023-05-21,20,jg air wand con juguete,juguetes,accesorios,24260.0,16092.0,51.0,0.0,0.001,600.0
16514,741,2023-05-01,1,16769.0,2023-05-22,21,fp atlas 20 / transportadora 58x37x32h cm,hogar-transporte,accesorios,25070.0,16769.0,52.0,0.0,0.001,800.0
16525,1368,2023-05-01,1,55928.0,2023-05-27,26,habitrail ovo mini,hogar-transporte,accesorios,69990.0,55928.0,171.0,0.0,0.004,500.0
16605,671,2023-05-01,1,20630.0,2023-05-19,18,bliss adjustable air mesh harness large,paseo,accesorios,31310.0,20630.0,66.0,0.0,0.001,750.0
16722,1238,2023-05-01,1,127605.0,2023-06-21,51,rasguñador torre sky,hogar-transporte,accesorios,163590.0,127605.0,400.0,0.0,0.004,700.0
17036,198,2023-06-05,1,13750.0,2023-06-25,20,planet dog lil snoop royal,juguetes,accesorios,17990.0,13750.0,38.0,1.0,0.001,500.0
17039,1176,2023-06-05,1,32247.0,2023-06-30,25,mazuri tubo huron,enriquecimiento ambiental,accesorios,43890.0,32247.0,107.0,0.0,0.004,2200.0
17064,1049,2023-06-05,1,52658.0,2023-06-26,21,habitrail ovo suite,hogar-transporte,accesorios,69990.0,52658.0,171.0,1.0,0.004,2400.0
17488,1100,2023-07-03,2,39132.0,2023-07-21,18,zd smash adjustable air mesh harness large,paseo,accesorios,26400.0,19566.0,55.0,0.0,0.001,500.0
17500,721,2023-07-03,2,103700.0,2023-07-25,22,pack conejo animal care,hogar-transporte,accesorios,73760.0,51850.0,155.0,3.0,0.001,500.0
17504,1531,2023-07-03,1,42743.0,2023-07-22,19,pack hamster  animal care  n°1,hogar-transporte,accesorios,54200.0,42743.0,114.0,3.0,0.001,500.0
17658,133,2023-07-03,1,36188.0,2023-07-24,21,habitat para hamster kleo vip,enriquecimiento ambiental,accesorios,50160.0,36188.0,106.0,0.0,0.001,550.0
17988,414,2023-07-31,1,27840.0,2023-08-20,20,habitrail classic kit,hogar-transporte,accesorios,41990.0,27840.0,88.0,1.0,0.001,650.0
18011,820,2023-07-31,1,11295.0,2023-08-18,18,coastal sublime collar diamond l,paseo,accesorios,16990.0,11295.0,36.0,2.0,0.001,500.0
18024,721,2023-07-31,1,51850.0,2023-08-19,19,pack conejo animal care,hogar-transporte,accesorios,73760.0,51850.0,155.0,3.0,0.001,500.0
18029,1492,2023-07-31,1,16092.0,2023-08-21,21,jg air wand con juguete,juguetes,accesorios,24260.0,16092.0,51.0,0.0,0.001,600.0
18096,516,2023-07-31,1,10187.0,2023-08-18,18,planet dog zanahoria,juguetes,accesorios,14990.0,10187.0,31.0,1.0,0.001,500.0
18116,1627,2023-07-31,1,7361.0,2023-08-19,19,coastal sublime collar yellow xs,paseo,accesorios,10490.0,7361.0,22.0,0.0,0.001,500.0
18235,1723,2023-07-31,1,15864.0,2023-08-18,18,zd army green ruff leash large,paseo,accesorios,23900.0,15864.0,50.0,3.0,0.001,500.0
18563,351,2023-09-04,1,13209.0,2023-09-23,19,white persian  (my family),placas identificacion,accesorios,17560.0,13209.0,43.0,1.0,0.004,1050.0
18578,752,2023-09-04,3,9063.0,2023-09-22,18,collar gato brillantes a.doct.,paseo,accesorios,3950.0,3021.0,9.0,5.0,0.001,500.0
18597,1176,2023-09-04,1,32247.0,2023-09-24,20,mazuri tubo huron,enriquecimiento ambiental,accesorios,43890.0,32247.0,107.0,0.0,0.004,2200.0
18773,320,2023-09-04,1,43250.0,2023-09-22,18,pack michi,adultos,accesorios,57990.0,43250.0,121.0,2.0,0.001,500.0
18811,854,2023-09-04,1,12157.0,2023-09-23,19,bliss leash large,paseo,accesorios,16900.0,12157.0,42.0,0.0,0.004,650.0
18846,1238,2023-09-04,1,127605.0,2023-10-08,34,rasguñador torre sky,hogar-transporte,accesorios,163590.0,127605.0,400.0,0.0,0.004,700.0
19027,1322,2023-10-02,1,4737.0,2023-10-20,18,zeus nosh hueso duro sabor tocino s,juguetes,accesorios,6490.0,4737.0,13.0,1.0,0.001,500.0
19052,1595,2023-10-02,1,2967.0,2023-10-20,18,zeus collar ajustable  s  coral,paseo,accesorios,4190.0,2967.0,9.0,0.0,0.001,500.0
19144,126,2023-10-02,1,11585.0,2023-10-21,19,afp treat hider perro,juguetes,accesorios,15590.0,11585.0,33.0,0.0,0.001,500.0
19189,665,2023-10-02,1,18185.0,2023-10-22,20,zeedog maze adjustable air mesh harness medium,paseo,accesorios,23900.0,18185.0,50.0,1.0,0.001,500.0
19232,133,2023-10-02,4,144752.0,2023-10-27,25,habitat para hamster kleo vip,enriquecimiento ambiental,accesorios,50160.0,36188.0,106.0,0.0,0.001,550.0
19284,190,2023-10-02,1,11152.0,2023-10-20,18,exo terra filtro int rept clear 150  ,enriquecimiento ambiental,accesorios,13990.0,11152.0,34.0,2.0,0.004,900.0
19572,414,2023-11-06,2,55680.0,2023-11-24,18,habitrail classic kit,hogar-transporte,accesorios,41990.0,27840.0,88.0,1.0,0.001,650.0
19578,1023,2023-11-06,1,22187.0,2023-11-28,22,daily stuff cama nido estilo garra,camas,accesorios,29990.0,22187.0,74.0,3.0,0.004,500.0
19599,721,2023-11-06,1,51850.0,2023-11-28,22,pack conejo animal care,hogar-transporte,accesorios,73760.0,51850.0,155.0,3.0,0.001,500.0
19655,1735,2023-11-06,1,18444.0,2023-11-24,18,zd neon coral adjustable air mesh harness small,paseo,accesorios,24880.0,18444.0,52.0,1.0,0.001,500.0
19726,498,2023-11-06,2,135592.0,2023-11-28,22,rasguñador con guarida tigre,hogar-transporte,accesorios,84990.0,67796.0,177.0,2.0,0.001,500.0
19727,284,2023-11-06,1,18660.0,2023-11-27,21,zd volt adj. air mesh harness large,paseo,accesorios,26400.0,18660.0,55.0,0.0,0.001,500.0
19764,854,2023-11-06,1,12157.0,2023-11-25,19,bliss leash large,paseo,accesorios,16900.0,12157.0,42.0,0.0,0.004,650.0
20047,1531,2023-12-04,1,42743.0,2023-12-26,22,pack hamster  animal care  n°1,hogar-transporte,accesorios,54200.0,42743.0,114.0,3.0,0.001,500.0
20177,235,2023-12-04,1,20265.0,2023-12-25,21,zd artsy adjustable air mesh harness large,paseo,accesorios,26400.0,20265.0,55.0,1.0,0.001,500.0
20247,1681,2023-12-04,1,33332.0,2023-12-26,22,zd army green adjustable air mesh harness medium,paseo,accesorios,47400.0,33332.0,115.0,2.0,0.004,500.0
20274,186,2023-12-04,1,12015.0,2023-12-23,19,rueda de erizo/roedor,enriquecimiento ambiental,accesorios,17290.0,12015.0,36.0,1.0,0.001,500.0
20283,384,2023-12-04,1,65775.0,2023-12-22,18,pack cuy  animal care,hogar-transporte,accesorios,84160.0,65775.0,176.0,0.0,0.001,1950.0
20515,414,2024-01-01,4,111360.0,2024-01-22,21,habitrail classic kit,hogar-transporte,accesorios,41990.0,27840.0,88.0,1.0,0.001,650.0
20567,1531,2024-01-01,1,42743.0,2024-01-19,18,pack hamster  animal care  n°1,hogar-transporte,accesorios,54200.0,42743.0,114.0,3.0,0.001,500.0
20657,436,2024-01-01,2,56726.0,2024-01-21,20,jaula tubby pequenos animales,hogar-transporte,accesorios,35900.0,28363.0,75.0,0.0,0.001,500.0
20780,219,2024-01-01,1,28262.0,2024-01-22,21,light blue glam paw (my family),placas identificacion,accesorios,36060.0,28262.0,89.0,1.0,0.004,1150.0
20784,663,2024-01-01,1,29409.0,2024-01-19,18,baño sanitario grande con cubierta gris,higiene,accesorios,43990.0,29409.0,92.0,2.0,0.001,1150.0
21061,414,2024-02-05,2,55680.0,2024-02-26,21,habitrail classic kit,hogar-transporte,accesorios,41990.0,27840.0,88.0,1.0,0.001,650.0
21111,1211,2024-02-05,1,26337.0,2024-02-27,22,wicked flyharness size 4,paseo,accesorios,37900.3,26337.0,79.0,0.0,0.001,750.0
21140,48,2024-02-05,1,14598.0,2024-02-24,19,coastal sublime trailla cubes/purple,paseo,accesorios,19590.0,14598.0,41.0,1.0,0.001,500.0
21226,783,2024-02-05,1,44856.0,2024-02-27,22,jaula cage cavie 80 grey,hogar-transporte,accesorios,62990.0,44856.0,132.0,2.0,0.001,500.0
21254,431,2024-02-05,1,9777.0,2024-02-24,19,zeus arnes fig h l grafito,paseo,accesorios,13590.0,9777.0,28.0,1.0,0.001,500.0
21278,17,2024-02-05,1,15375.0,2024-02-23,18,"planet dog planet ball azul/verde ""l""",juguetes,accesorios,22990.0,15375.0,57.0,1.0,0.004,550.0
21576,198,2024-03-04,1,13750.0,2024-03-24,20,planet dog lil snoop royal,juguetes,accesorios,17990.0,13750.0,38.0,1.0,0.001,500.0
21597,1157,2024-03-04,2,48332.0,2024-03-22,18,cama chiporro xl catapet,camas,accesorios,31990.0,24166.0,67.0,0.0,0.001,500.0
21605,1049,2024-03-04,1,52658.0,2024-03-23,19,habitrail ovo suite,hogar-transporte,accesorios,69990.0,52658.0,171.0,1.0,0.004,2400.0
21617,1368,2024-03-04,1,55928.0,2024-03-23,19,habitrail ovo mini,hogar-transporte,accesorios,69990.0,55928.0,171.0,0.0,0.004,500.0
21631,1249,2024-03-04,1,17742.0,2024-03-24,20,zeedog mahalo adjustable air mesh harness medium,paseo,accesorios,23900.0,17742.0,50.0,2.0,0.001,650.0
21763,469,2024-03-04,1,40918.0,2024-04-05,32,jaula bella peq. animalles,hogar-transporte,accesorios,62480.0,40918.0,131.0,0.0,0.001,800.0
4,1706,2020-01-06,26,867204.0,2020-01-26,20,pro plan adulto optihealth r/m 15 kg,adultos,alimento,49500.0,33354.0,149.0,0.0,0.015,3850.0
40,1678,2020-01-13,19,1203175.0,2020-02-10,28,royal can. urinary canine 10 kg.,medicados,alimento,93370.0,63325.0,282.0,0.0,0.015,1850.0
47,999,2020-01-20,26,882804.0,2020-02-07,18,proplan puppy optis. large br. 15 kg.,cachorros,alimento,49900.0,33954.0,150.0,4.0,0.015,4200.0
67,1556,2020-01-27,1,12690.0,2020-02-15,19,amity sp low grain salmon adult 4 kg,adultos,alimento,18990.0,12690.0,57.0,0.0,0.015,1700.0
77,1734,2020-01-27,4,5944.0,2020-02-14,18,bravery atún y vegetales alimento húmedo,humedo,alimento,1990.0,1486.0,6.0,8.0,0.015,4050.0
130,1476,2020-02-03,1,32439.0,2020-02-23,20,bravery chicken adult cat 7 kg,adultos,alimento,44990.0,32439.0,136.0,0.0,0.015,4850.0
306,709,2020-02-03,1,48161.0,2020-02-25,22,bravery salmon adult large/medium breed 12 kg,adultos,alimento,60990.0,48161.0,183.0,4.0,0.015,5300.0
345,1510,2020-02-10,14,527198.0,2020-03-02,21,bravery salmon adult cat 7 kg,adultos,alimento,47990.0,37657.0,145.0,1.0,0.015,1050.0
