item_id,description,description_2,group_description,date,quantity,unit_sale_price (CLP),total (CLP),client_id
1853,pro plan alimento seco para adulto razas medianas 15 kg,adultos,alimento,2022-06-16,1,62990.0,62990.0,3237.0
179,coastal maslow plato cobre martillado 1182 ml,paseo,accesorios,2022-07-31,1,11490.0,11490.0,3264.0
890,catit filtro fuente mini 3 unid,juguetes,accesorios,2022-07-31,1,4490.0,4490.0,2204.0
1816,zeedof arnés ajustable morado,paseo,accesorio,2022-10-08,1,27990.0,27990.0,1790.0
1813,caña con pompones,juguetes,accesorio,2022-05-20,1,3990.0,3990.0,1925.0
1548,yorkshire terrier  jr 3 kilo ,razas,alimento,2022-06-05,3,34270.0,102810.0,2371.0
1830,dispensador small,juguetes,accesorio,2022-03-18,1,6990.0,6990.0,1062.0
1828,kong extreme dental con cuerda,juguetes,accesorio,2022-03-26,1,24990.0,24990.0,104.0
1696,monge senior chicken 1,,,2022-06-05,2,16320.0,32640.0,2439.0
1293,pro plan adulto carne pouch 100 gr,humedo,alimento,2022-05-11,2,2530.0,5060.0,1439.0
1856,botella de agua con contenedor de comida,hogar-transporte,accesorio,2022-07-28,1,9990.0,9990.0,3442.0
1521,brit care gf adult salmon 3 kg,adultos,alimento,2022-10-14,2,23990.0,47980.0,1471.0
1510,bravery salmon adult cat 7 kg,adultos,alimento,2022-06-04,1,47990.0,47990.0,4024.0
1828,kong extreme dental con cuerda,juguetes,accesorio,2022-03-19,1,24990.0,24990.0,304.0
1340,dogit alfombrilla educadora  x-large 20u,higiene,accesorios,2022-07-31,1,16990.0,16990.0,791.0
417,cama chiporro xxl catapet,camas,accesorios,2022-06-30,1,37990.0,37990.0,5195.0
1847,juguete limpieza dental doble,juguetes,accesorio,2022-02-25,1,8990.0,8990.0,3850.0
1792,royal canin alimento húmedo perro adulto,humedo,alimento,2022-05-20,1,8990.0,8990.0,1503.0
1476,bravery chicken adult cat 7 kg,adultos,alimento,2022-09-01,1,44990.0,44990.0,4810.0
1855,botella de paseo 1 un,hogar-transporte,accesorio,2022-12-29,1,4990.0,4990.0,3305.0
1820,simparica antiparasitario 80 mg,antiparasitarios,medicamento,2022-12-17,1,15990.0,15990.0,241.0
813,royal canin mini indoor adulto 2.5kg,adultos,alimento,2022-08-18,1,26300.0,26300.0,2904.0
1787,nath puppy maxi sabor pollo y arroz integral,cachorro,alimento,2022-08-09,1,24990.0,24990.0,575.0
1285,royal canin  kitten 36,,,2022-04-22,1,20570.0,20570.0,2812.0
1849,royal alimento seco gato 7.5 kg,adultos,alimento,2022-07-21,1,54990.0,54990.0,283.0
1849,royal alimento seco gato 7.5 kg,adultos,alimento,2022-04-30,1,54990.0,54990.0,3813.0
1849,royal alimento seco gato 7.5 kg,adultos,alimento,2022-01-14,3,54990.0,164970.0,388.0
1825,poo bolsas compostables 60 u,higiene,accesorio,2022-07-08,1,6990.0,6990.0,2349.0
1821,mebermic,antiparasitarios,medicamento,2022-05-20,1,2990.0,2990.0,5126.0
1820,simparica antiparasitario 80 mg,antiparasitarios,medicamento,2022-03-01,1,15990.0,15990.0,4475.0
629,eukanuba adulto large breed 15 kg,adultos,alimento,2022-10-13,1,82410.0,82410.0,2200.0
1764,royal canin alimento húmedo perro adulto,humedo,alimento,2022-07-11,1,8990.0,8990.0,685.0
625,brit care cat chicken breats with rice 70grs,humedo,alimento,2022-04-27,2,1900.0,3800.0,5074.0
1793,bravery atún y vegetales alimento húmedo,humedo,alimento,2022-03-06,1,1990.0,1990.0,2158.0
1786,nath adulto maxi sabor pollo y arroz integral,adultos,alimento,2022-10-19,1,19990.0,19990.0,2478.0
1799,proplan adulto cat alimento para gato,adultos,alimento,2022-12-20,1,44990.0,44990.0,2764.0
462,pawise bola para golosinas gato,juguetes,accesorios,2022-05-31,1,3990.0,3990.0,2800.0
964,gastrointestinal cat pouch 85 gr,humedo,alimento,2022-06-15,1,1900.0,1900.0,2456.0
1476,bravery chicken adult cat 7 kg,adultos,alimento,2022-07-13,1,44990.0,44990.0,909.0
1812,kong wobbler cat small,juguetes,accesorio,2022-05-08,1,18990.0,18990.0,2056.0
1812,kong wobbler cat small,juguetes,accesorio,2022-10-15,1,18990.0,18990.0,4939.0
1787,nath puppy maxi sabor pollo y arroz integral,cachorro,alimento,2022-08-25,1,24990.0,24990.0,818.0
1828,kong extreme dental con cuerda,juguetes,accesorio,2022-12-10,1,24990.0,24990.0,3748.0
1828,kong extreme dental con cuerda,juguetes,accesorio,2022-01-05,1,24990.0,24990.0,2563.0
1849,royal alimento seco gato 7.5 kg,adultos,alimento,2022-07-21,1,54990.0,54990.0,1900.0
1818,puzzle twister nivel 3,juguetes,accesorio,2022-09-24,1,35990.0,35990.0,
1789,salvaje adulto con pollo 15 kg,adultos,alimento,2022-07-10,3,31990.0,95970.0,1761.0
1138,brit care cat fillets in gravy turkey & savory salmon 85 g,humedo,alimento,2022-10-14,2,2200.0,4400.0,181.0
1791,belcando búfalo de agua 400 gr,humedo,alimento,2022-03-12,1,5590.0,5590.0,2476.0
813,royal canin mini indoor adulto 2.5kg,adultos,alimento,2022-12-21,1,26300.0,26300.0,3811.0
1849,royal alimento seco gato 7.5 kg,adultos,alimento,2022-04-06,1,54990.0,54990.0,4726.0
1785,dogxtreme pupy pollo y arroz,adultos,alimento,2022-12-31,2,24990.0,49980.0,4443.0
1827,hueso masticable con textura,juguetes,accesorio,2022-05-28,1,17990.0,17990.0,2006.0
1793,bravery atún y vegetales alimento húmedo,humedo,alimento,2022-10-25,2,1990.0,3980.0,3437.0
1813,caña con pompones,juguetes,accesorio,2022-04-27,1,3990.0,3990.0,2573.0
1694,pack hamster animal care n°2,hogar-transporte,accesorios,2022-02-28,1,67340.0,67340.0,4757.0
1827,hueso masticable con textura,juguetes,accesorio,2022-10-22,1,17990.0,17990.0,224.0
1138,brit care cat fillets in gravy turkey & savory salmon 85 g,humedo,alimento,2022-03-10,1,2200.0,2200.0,4264.0
1818,puzzle twister nivel 3,juguetes,accesorio,2022-07-08,2,35990.0,71980.0,
1817,puzzle tornado nivel 2,juguetes,accesorio,2022-06-03,1,24990.0,24990.0,5125.0
1559,fel urinary chi pouch 85 gr,humedo,alimento,2022-05-29,1,1900.0,1900.0,3227.0
1849,royal alimento seco gato 7.5 kg,adultos,alimento,2022-01-23,1,54990.0,54990.0,1571.0
1794,proplan adulto latas,humedo,alimento,2022-09-15,2,4690.0,9380.0,4718.0
1799,proplan adulto cat alimento para gato,adultos,alimento,2022-06-25,1,44990.0,44990.0,939.0
189,gel otico plus x 11.5 grs.,otico,medicamentos,2022-08-31,1,17150.0,17150.0,2846.0
1830,dispensador small,juguetes,accesorio,2022-11-10,1,6990.0,6990.0,1062.0
1790,royal canin adulto maxi adult 15kg,adultos,alimento,2022-02-06,1,56990.0,56990.0,3062.0
1809,desparasitante bravecto para gatos,antiparasitarios,medicamento,2022-02-15,2,29990.0,59980.0,2104.0
466,zd crimson air-leash,paseo,accesorios,2022-06-30,1,37900.0,37900.0,1096.0
1820,simparica antiparasitario 80 mg,antiparasitarios,medicamento,2022-11-17,1,15990.0,15990.0,1174.0
1851,orijen alimento natural seco para gato 5kg,adultos,alimento,2022-01-08,1,68990.0,68990.0,4810.0
122,royal canin feline adult sterilised 1.5 kg,adultos,alimento,2022-02-13,1,19710.0,19710.0,447.0
1403,brit care cat grain-free sterilized sensitive 7 kg,adultos,alimento,2022-03-19,1,55990.0,55990.0,1403.0
1800,bravery chicken adult cat,adultos,alimento,2022-08-19,1,35990.0,35990.0,2646.0
1850,bravery alimento seco natural 7kg,adultos,alimento,2022-07-31,1,44990.0,44990.0,2002.0
1829,hueso entretenido,juguetes,accesorio,2022-09-28,1,7990.0,7990.0,584.0
1850,bravery alimento seco natural 7kg,adultos,alimento,2022-03-17,1,44990.0,44990.0,2694.0
1821,mebermic,antiparasitarios,medicamento,2022-07-26,2,2990.0,5980.0,890.0
192,brit care cat sterilized urinary 7kg,adultos,alimento,2022-10-11,1,55990.0,55990.0,2010.0
1821,mebermic,antiparasitarios,medicamento,2022-01-12,1,2990.0,2990.0,4428.0
1831,squeaky bounce ball large,juguetes,accesorio,2022-03-26,1,25990.0,25990.0,4294.0
1851,orijen alimento natural seco para gato 5kg,adultos,alimento,2022-07-02,1,68990.0,68990.0,253.0
1825,poo bolsas compostables 60 u,higiene,accesorio,2022-06-22,1,6990.0,6990.0,4899.0
1832,alfombrilla de entrenamiento de cesped,higiene,accesorio,2022-10-11,1,49990.0,49990.0,474.0
1860,small bird diet 1 kg,adultos,alimento,2022-02-28,1,16990.0,16990.0,3234.0
1825,poo bolsas compostables 60 u,higiene,accesorio,2022-04-14,2,6990.0,13980.0,3558.0
1788,royal canin adulto mini adult 7,,,2022-12-16,3,42990.0,128970.0,827.0
